step	iteration	lambda	dlambda	radius
1	0	1.250000000000e-03	1.250000000000e-03	1.350000000000e-02
1	1	1.283550000000e-03	3.354974000000e-05	1.350000000000e-02
1	2	1.286207000000e-04	-1.154929000000e-03	1.350000000000e-02
1	3	1.374697000000e-03	1.246077000000e-03	1.350000000000e-02
1	4	5.123751000000e-04	-8.623224000000e-04	1.350000000000e-02
1	5	3.610949000000e-04	-1.512802000000e-04	1.350000000000e-02
1	6	8.055441000000e-04	4.444491000000e-04	1.350000000000e-02
1	7	6.531736000000e-04	-1.523705000000e-04	1.350000000000e-02
1	8	6.447764000000e-04	-8.397116000000e-06	1.350000000000e-02
1	9	7.842056000000e-04	1.394292000000e-04	1.350000000000e-02
1	10	6.358140000000e-04	-1.483917000000e-04	1.350000000000e-02
1	11	7.255463000000e-04	8.973230000000e-05	1.350000000000e-02
1	12	6.666680000000e-04	-5.887830000000e-05	1.350000000000e-02
1	13	6.977604000000e-04	3.109243000000e-05	1.350000000000e-02
1	14	6.799751000000e-04	-1.778533000000e-05	1.350000000000e-02
1	15	6.898661000000e-04	9.891040000000e-06	1.350000000000e-02
1	16	6.844234000000e-04	-5.442734000000e-06	1.350000000000e-02
1	17	6.874442000000e-04	3.020829000000e-06	1.350000000000e-02
1	18	6.857573000000e-04	-1.686902000000e-06	1.350000000000e-02
1	19	6.866793000000e-04	9.220094000000e-07	1.350000000000e-02
1	20	6.859765000000e-04	-7.027943000000e-07	1.350000000000e-02
1	21	6.866011000000e-04	6.245276000000e-07	1.350000000000e-02
1	22	6.861440000000e-04	-4.570754000000e-07	1.350000000000e-02
1	23	6.863857000000e-04	2.416750000000e-07	1.350000000000e-02
1	24	6.861974000000e-04	-1.882361000000e-07	1.350000000000e-02
2	0	1.250000000000e-03	5.638026000000e-04	6.750000000000e-03
2	1	1.307503000000e-03	5.750282000000e-05	6.750000000000e-03
2	2	9.560739000000e-04	-3.514289000000e-04	6.750000000000e-03
2	3	9.634520000000e-04	7.378096000000e-06	6.750000000000e-03
2	4	1.097322000000e-03	1.338704000000e-04	6.750000000000e-03
2	5	1.021260000000e-03	-7.606244000000e-05	6.750000000000e-03
2	6	1.029079000000e-03	7.818738000000e-06	6.750000000000e-03
2	7	1.027071000000e-03	-2.007773000000e-06	6.750000000000e-03
2	8	1.031608000000e-03	4.537169000000e-06	6.750000000000e-03
2	9	1.029730000000e-03	-1.878227000000e-06	6.750000000000e-03
2	10	1.029861000000e-03	1.308179000000e-07	6.750000000000e-03
3	0	1.250000000000e-03	2.201393000000e-04	3.375000000000e-03
3	1	1.285624000000e-03	3.562432000000e-05	3.375000000000e-03
3	2	1.196307000000e-03	-8.931752000000e-05	3.375000000000e-03
